 , 0.201107011070111
т, 0.0627306273062731
й, 0.0627306273062731
є, 0.0590405904059041
в, 0.0571955719557196
н, 0.0535055350553506
ч, 0.0461254612546125
ф, 0.0461254612546125
а, 0.044280442804428
с, 0.0424354243542435
з, 0.040590405904059
л, 0.029520295202952
р, 0.025830258302583
ш, 0.025830258302583
п, 0.0202952029520295
ґ, 0.0202952029520295
е, 0.0202952029520295
ц, 0.018450184501845
и, 0.018450184501845
у, 0.0166051660516605
ї, 0.0166051660516605
д, 0.0129151291512915
к, 0.0129151291512915
щ, 0.011070110701107
і, 0.011070110701107
ю, 0.00553505535055351
х, 0.00553505535055351
г, 0.00553505535055351
б, 0.003690036900369
ь, 0.003690036900369
